DATEREALISATION,JOUR_SEMAINE,NUM_SEMAINE,NUM_MOIS,ANNEE,CENTRE,CAT_ACTE,CAT_ACTE_COUNT,SUM_PRECISION
2015-01-02,5,1,1,15,0,0,1,1
2015-01-02,5,1,1,15,0,1,6,4
2015-01-02,5,1,1,15,0,2,1,1
2015-01-02,5,1,1,15,0,3,0,0
2015-01-02,5,1,1,15,0,4,0,0
2015-01-02,5,1,1,15,0,5,1,1
2015-01-02,5,1,1,15,0,6,0,0
2015-01-02,5,1,1,15,1,0,2,0
2015-01-02,5,1,1,15,1,1,8,7
2015-01-02,5,1,1,15,1,2,2,1
2015-01-02,5,1,1,15,1,3,3,0
2015-01-02,5,1,1,15,1,4,1,0
2015-01-02,5,1,1,15,1,5,0,0
2015-01-02,5,1,1,15,1,6,1,0
2015-01-05,1,2,1,15,0,0,4,2
2015-01-05,1,2,1,15,0,1,12,9
2015-01-05,1,2,1,15,0,2,13,11
2015-01-05,1,2,1,15,0,3,3,1
2015-01-05,1,2,1,15,0,4,3,0
2015-01-05,1,2,1,15,0,5,1,0
2015-01-05,1,2,1,15,0,6,4,0
2015-01-05,1,2,1,15,1,0,5,3
2015-01-05,1,2,1,15,1,1,17,16
2015-01-05,1,2,1,15,1,2,14,12
2015-01-05,1,2,1,15,1,3,23,13
2015-01-05,1,2,1,15,1,4,1,0
2015-01-05,1,2,1,15,1,5,1,0
2015-01-05,1,2,1,15,1,6,6,0
2015-01-06,2,2,1,15,0,0,0,0
2015-01-06,2,2,1,15,0,1,18,15
2015-01-06,2,2,1,15,0,2,7,7
2015-01-06,2,2,1,15,0,3,3,2
2015-01-06,2,2,1,15,0,4,3,2
2015-01-06,2,2,1,15,0,5,2,0
2015-01-06,2,2,1,15,0,6,2,0
2015-01-06,2,2,1,15,1,0,3,0
2015-01-06,2,2,1,15,1,1,9,8
2015-01-06,2,2,1,15,1,2,8,8
2015-01-06,2,2,1,15,1,3,19,13
2015-01-06,2,2,1,15,1,4,2,1
2015-01-06,2,2,1,15,1,5,1,0
2015-01-06,2,2,1,15,1,6,4,1
2015-01-07,3,2,1,15,0,0,1,1
2015-01-07,3,2,1,15,0,1,4,3
2015-01-07,3,2,1,15,0,2,4,3
2015-01-07,3,2,1,15,0,3,2,2
2015-01-07,3,2,1,15,0,4,2,0
2015-01-07,3,2,1,15,0,5,0,0
2015-01-07,3,2,1,15,0,6,6,1
2015-01-07,3,2,1,15,1,0,8,4
2015-01-07,3,2,1,15,1,1,18,11
2015-01-07,3,2,1,15,1,2,11,8
2015-01-07,3,2,1,15,1,3,28,17
2015-01-07,3,2,1,15,1,4,3,1
2015-01-07,3,2,1,15,1,5,1,0
2015-01-07,3,2,1,15,1,6,14,3
2015-01-08,4,2,1,15,0,0,3,0
2015-01-08,4,2,1,15,0,1,8,6
2015-01-08,4,2,1,15,0,2,3,2
2015-01-08,4,2,1,15,0,3,5,1
2015-01-08,4,2,1,15,0,4,4,0
2015-01-08,4,2,1,15,0,5,0,0
2015-01-08,4,2,1,15,0,6,3,0
2015-01-08,4,2,1,15,1,0,2,2
2015-01-08,4,2,1,15,1,1,11,7
2015-01-08,4,2,1,15,1,2,7,4
2015-01-08,4,2,1,15,1,3,8,5
2015-01-08,4,2,1,15,1,4,11,3
2015-01-08,4,2,1,15,1,5,1,0
2015-01-08,4,2,1,15,1,6,6,1
2015-01-09,5,2,1,15,0,0,3,0
2015-01-09,5,2,1,15,0,1,13,6
2015-01-09,5,2,1,15,0,2,11,6
2015-01-09,5,2,1,15,0,3,3,0
2015-01-09,5,2,1,15,0,4,3,2
2015-01-09,5,2,1,15,0,5,1,0
2015-01-09,5,2,1,15,0,6,1,0
2015-01-09,5,2,1,15,1,0,3,0
2015-01-09,5,2,1,15,1,1,21,17
2015-01-09,5,2,1,15,1,2,14,12
2015-01-09,5,2,1,15,1,3,22,9
2015-01-09,5,2,1,15,1,4,4,1
2015-01-09,5,2,1,15,1,5,1,0
2015-01-09,5,2,1,15,1,6,5,2
2015-01-10,6,2,1,15,1,0,0,0
2015-01-10,6,2,1,15,1,1,1,0
2015-01-10,6,2,1,15,1,2,0,0
2015-01-10,6,2,1,15,1,3,0,0
2015-01-10,6,2,1,15,1,4,0,0
2015-01-10,6,2,1,15,1,5,0,0
2015-01-10,6,2,1,15,1,6,0,0
2015-01-12,1,3,1,15,0,0,5,0
2015-01-12,1,3,1,15,0,1,14,12
2015-01-12,1,3,1,15,0,2,11,8
2015-01-12,1,3,1,15,0,3,8,3
2015-01-12,1,3,1,15,0,4,4,0
2015-01-12,1,3,1,15,0,5,2,1
2015-01-12,1,3,1,15,0,6,11,7
2015-01-12,1,3,1,15,1,0,6,1
2015-01-12,1,3,1,15,1,1,20,12
2015-01-12,1,3,1,15,1,2,20,14
2015-01-12,1,3,1,15,1,3,17,9
2015-01-12,1,3,1,15,1,4,4,1
2015-01-12,1,3,1,15,1,5,5,2
2015-01-12,1,3,1,15,1,6,3,0
2015-01-13,2,3,1,15,0,0,1,0
2015-01-13,2,3,1,15,0,1,11,7
2015-01-13,2,3,1,15,0,2,11,9
2015-01-13,2,3,1,15,0,3,11,4
2015-01-13,2,3,1,15,0,4,5,3
2015-01-13,2,3,1,15,0,5,1,0
2015-01-13,2,3,1,15,0,6,6,3
2015-01-13,2,3,1,15,1,0,6,2
2015-01-13,2,3,1,15,1,1,11,9
2015-01-13,2,3,1,15,1,2,10,9
2015-01-13,2,3,1,15,1,3,22,8
2015-01-13,2,3,1,15,1,4,1,0
2015-01-13,2,3,1,15,1,5,1,0
2015-01-13,2,3,1,15,1,6,9,1
2015-01-14,3,3,1,15,0,0,4,3
2015-01-14,3,3,1,15,0,1,12,11
2015-01-14,3,3,1,15,0,2,7,5
2015-01-14,3,3,1,15,0,3,10,4
2015-01-14,3,3,1,15,0,4,7,1
2015-01-14,3,3,1,15,0,5,0,0
2015-01-14,3,3,1,15,0,6,12,4
2015-01-14,3,3,1,15,1,0,13,3
2015-01-14,3,3,1,15,1,1,17,10
2015-01-14,3,3,1,15,1,2,12,10
2015-01-14,3,3,1,15,1,3,38,26
2015-01-14,3,3,1,15,1,4,5,2
2015-01-14,3,3,1,15,1,5,0,0
2015-01-14,3,3,1,15,1,6,18,2
2015-01-15,4,3,1,15,0,0,3,2
2015-01-15,4,3,1,15,0,1,12,8
2015-01-15,4,3,1,15,0,2,8,4
2015-01-15,4,3,1,15,0,3,9,2
2015-01-15,4,3,1,15,0,4,4,1
2015-01-15,4,3,1,15,0,5,0,0
2015-01-15,4,3,1,15,0,6,3,1
2015-01-15,4,3,1,15,1,0,7,3
2015-01-15,4,3,1,15,1,1,29,16
2015-01-15,4,3,1,15,1,2,13,13
2015-01-15,4,3,1,15,1,3,25,15
2015-01-15,4,3,1,15,1,4,8,4
2015-01-15,4,3,1,15,1,5,2,1
