DATEREALISATION,JOUR_SEMAINE,NUM_SEMAINE,NUM_MOIS,ANNEE,CENTRE,CAT_ACTE,CAT_ACTE_COUNT,SUM_PRECISION,METEO,VACANCE
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CHIRURGIE,1,1,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CONSULTATION_FACTURABLE,6,4,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CONSULTATION_NON_FACTURABLE,1,1,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,IMAGERIE,0,0,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,PROPHYLAXIE,0,0,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,PROTHESE,1,1,3.8,1
2015-01-02,5,1,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,SOIN CONSERVATEUR,0,0,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,CHIRURGIE,2,0,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,CONSULTATION_FACTURABLE,8,7,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,CONSULTATION_NON_FACTURABLE,2,1,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,IMAGERIE,3,0,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,PROPHYLAXIE,1,0,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,PROTHESE,0,0,3.8,1
2015-01-02,5,1,1,15,9899 - ODONTOLOGIE RANGUEIL,SOIN CONSERVATEUR,1,0,3.8,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CHIRURGIE,4,2,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CONSULTATION_FACTURABLE,12,9,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,CONSULTATION_NON_FACTURABLE,13,11,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,IMAGERIE,3,1,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,PROPHYLAXIE,3,0,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,PROTHESE,1,0,7.3,1
2015-01-05,1,2,1,15,9898 - ODONTOLOGIE HOTEL-DIEU ST JACQUES ,SOIN CONSERVATEUR,4,0,7.3,1
